pid,translators,languages
Adélia Prado,<i>DoubleSpeak</i> Staff,Ancient Greek
Adolf Brand,Alex Droznin-Israel,Arabic
Aimé Césaire,Alex Stern,Bosnian
Alda do Espírito Santo,Alexandra Bousquet-Chavanne,Bulgarian
Alda Merini,Alexandra Pierson,Chinese
Alejandra Pizarnik,Ali Noori,Czech
Alejandro Zambra,Allan Persinger,Esperanto
Amélie Nothomb,Allison Collins,Farsi
Amina Saïd,Alyssa Dickinson,French
Anna Akhmatova,Andrea Conde,Friulian
Annie Ernaux,Anika Prakash,German
Anonymous,Anjali Gupta,Genovese
Anton Chekov,Anjali Tsui,Greek
Antonia Pozzi,Anna Carapellotti,Hebrew
Antonio Machado,Anne Chen,Hindi
Armando Valladares,Armghan Ahmad,Hungarian
Arthur Rimbaud,Ashley Sniffen,Italian
Bai Juyi,Ayla Fudala,Japanese
C. P. Cavafy,Aylin Malcolm,Kashmiri
Carlos de Assumpção ,Benjamin Notkin,Korean
Carlos Drumond de Andrade,Betsy Morgan,Latin
Catullus,Carla Rossi,Mandarin
Charles Baudelaire,Chamini Kulathunga,Middle English
Charlotte Delbo,Chardonnay Needler,Norwegian
Chiranan Pitpreecha,Chen Du,Old English
Christina Perri Rossi,Chenel Morrison,Old Occitan
Dahlia Ravikovitch,Claudia Lynn,Persian
David Diop,Claudia Nuñez de Ibieta,Polish
Dino Bonao (Juan Dicent),Cory Austin Knudson,Portuguese 
Dora Gabe,Couloir Hanson,Russian
e.e. cummings,Dan Ben-Amos,Sanskrit
Eirini Lemos,Dan Guralnik,Sinhalese
Elene Shvartz,Daniel Sawey,Spanish
Elvira Sastre,Darío Goldgel Carballo,Swedish
Émile Nelligan,David Ting,Tagalog
Erich Arendt,Dillon Bergin,Thai
Eugenio Montale,Dionysia Sotiropoulou,Turkish
Eunice Odio,Donnisa Edmonds,Urdu
Federico García Lorca,Dr. Bethany Wiggin,Yiddish
Fernando Pessoa,Dr. Christina Frei,
Filippo Vignali,Dr. Rebekah Zhuraw,
Francesco Guccini,Dr. Simon Richter,
François Villon,Eirini Lemos,
Françoise Sagan,Elizabeth Balabayev,
František Halas,Elizabeth Rose,
Franz Kafka,Ella Konefal,
Gabriela Mistral,Ellen Doré Watson,
Georges Bataille,Emily Yoon,
Gioconda Belli,Emily Zimbrick-Rogers,
Giovanni Pascoli,Emma Arsekin,
Giuseppe Ungaretti,Emma Hirvisalo,
Guillaume Apollinaire,Emre Azizlerli,
Guy de Maupassant,Erika Kontulainen,
Haizi ,Eza Koch,
Hannah Szenes,Florian Breitkopf,
Henry David Thoreau,George Rosa,
Hilde Domin,Gil Lehmann,
Hossein Monzavi,Gina DeCagna,
Hwang Ji Woo,Giulia Rupi,
Idea Vilariño,Gregorio Doblehablante,
Ja’Far Shahri,Heta Patel,
Juan Cabrera,Irina Natcheva,
Judas Isgorogota (Agnelo Rodrigues de Melo),Jacey Chang,
Julia de Burgos,Jackson Gu,
Karina García Albadiz,Jacob Hershman,
Khalil Hawi,Jasmine Phun,
Kim Soon Mi,Jianing Zhao,
Kim Sowol,Jin Ah Lee,
King Rama II,John Sherer,
Kobayashi Issa ,John Viano,
La Compiuta Donzella,Johnathan Zheng,
Léopold Sédar Senghor,Jonathan Iwry,
Li Jizong,Jordan Barger,
Li Yu,Josh Bryer,
Li Yuansheng,Josh Glahn,
Liu Xiaobo,Juan Cabrera,
Liu Yu,Julia Pelosi-Thorpe,
Lu Xun,Karina Carreras,
Mahadevi Varma,Katherine Hemmann,
Mahmoud Darwish,Kathleen Zhou,
Mak Dizdar,Kathryn Dettmer,
Mansur Al-Hallaj,Kejia Wang,
Margherita Guidacci,Keshav Sharma,
Maria Luisa Spaziani,Keyla Cavdar,
Mariama Ndiaye,Kristen Kelly,
Marica Bodrožić,Laura Francis,
Marina Tsavetaeva,Lauren Kaufmann,
Marinella,Leah Baxter,
Mario Benedetti,Lindsey Johnson,
Martin Luther,Liwa Sun,
Masajo Suzuki ,Maggie Grabmeier,
Matthew Dickman,Malika Kadyrova,
Michael Freeman,Margaret Borowezyk,
Mikilós Radnóti,Margaret Lawlace,
Mohammad Ali Bahmani ,Maria Dahvana Headley,
Moon Taejoon,Maria Lourdes Riillo,
Münír Nurettín Selçuk,Marisa Bruno,
Murakami Haruki,Max McKenna,
Naji Munawar,Maya Shumyatcher,
Nathan Alterman,Meg Pendoley,
Nâzım Hikmet,Melanie Vladimirschi,
Nelly Sachs,Michael Freeman,
Nizar Qabbani,Michaela Kotziers,
Noon Meem Rashid,Mira Revesz,
Nurullah Genç,Mirela Zaneva,
Octavio Paz,Monica Wojciechowski,
Olaya Barr,Nadia Park,
Osip Mandelstam,Najme Khatami,
Pablo Neruda,Naomi Bernstein,
Patricia Mary Hearons,Nick Defina,
Paul Celan,Nicolette Tan,
Pavel Friedmann ,Olaya Barr,
Pavel Matev,Omar Khoury,
Pier Paolo Pasolini,Pablo Abrante,
Pierre de Ronsard,Patricia Mary Hearons,
Pythagoras Papastamatiou,Pedro Lino,
Qasmūna bint Ismāʿil,Peeriya Pongsarigun,
Quim Monzó,Perren Carrillo,
Quinn Gruber,Phoebe Liu,
Rachel Bluwstein ,Qingyang Zhou,
Raimbaut de Vaqueiras,Quinn Gruber,
Rainer Maria Rilke,Rafael Rodriguez,
Renée Vivien,Rawad Wehbe,
Richard Dehmel,Rhosean Asmah,
Roberto Bolaño,Rivky Mondal,
Rosabetty Muñoz,Robert Chen,
Rosario Castellanos,Roberto Rodriguez,
Ruwan Bandujeewa,Ross Karlan,
Samantha Kook,Ryan Hardy,
Sappho,Ryan Kramer,
Sergei Yesenin,Saagar Asnani,
Shez,Samantha DeStefano,
Shu Ting,Samantha Kook,
Shuguang Zhang ,Samantha Osaki,
Sigbjørn Obstfelder,Samantha Pious,
Silvio Rodríguez,Sarah Greene,
Simran Chand,Sean Mason,
Som Nath Bhat “Veer”,Shailly Pandey,
Stella N’Djoku,Shilpa Saravanan,
Su Shi,Shiven Sharma,
Sunthorn Phu,Shosana Akabas,
Tamara Grosso,Shuke Zeng,
Théophile Gautier,Sirin Parkan,
Thomas Carlyle,Stefano Pietrosanti,
Tim Lorndale,Stephan Rihs,
Tomas Tranströmer,Stephanie Diaz,
Tuvya Ruebner,Sue Jia,
Valérie Rezeau,Suvir Kaul,
Victor Hugo,Taylor McConnell,
Vladimir Mayakovsky,Tim Lorndale,
Vladimir Vysotskii,Tina Zhu,
Wislawa Szymborska,Trask Roberts,
Wolfgang von Goethe,Vanessa Hu,
Wolfram von Eschenbach,VanJessica Gladney,
Xi Murong,Vivian Yuxin Wen,
Yan An,Wenhan Zhang,
Yaroslav (Slava) Mogutin,Xisheng Chen,
Yi Sang-hwa,Yehudith Dashevsky,
Yosa Buson,Yi Feng,
Yuliya Drunina,Younghoon Jeong,
Yun Dong-ju,Yuchao Wang,
Zhang Ergun,Zhiqiao (Kate) Jiang,
Zhang Zhihao,,
Zoraida Armengol,,
Zusman Segalovitsh,,